clf,atlas_name,itr,tp,tn,fp,fn,sen,spc,acc,pre,npv,f1,roc_auc
AdaBoostClassifier,rois_ho,8,16,36,12,24,0.4,0.75,0.590909091,0.571428571,0.6,0.470588235,0.575
AdaBoostClassifier,rois_ho,9,24,36,12,16,0.6,0.75,0.681818182,0.666666667,0.692307692,0.631578947,0.675
AdaBoostClassifier,rois_ho,average,21.2,35.5,12,19.5,0.52097561,0.747384752,0.642824311,0.640147783,0.645995472,0.572868103,0.6341
KNeighborsClassifier,rois_dosenbach160,0,37,8,40,4,0.902439024,0.166666667,0.505617978,0.480519481,0.666666667,0.627118644,0.535
KNeighborsClassifier,rois_dosenbach160,1,30,12,36,11,0.731707317,0.25,0.471910112,0.454545455,0.52173913,0.560747664,0.491
KNeighborsClassifier,rois_dosenbach160,2,35,11,37,5,0.875,0.229166667,0.522727273,0.486111111,0.6875,0.625,0.552
KNeighborsClassifier,rois_dosenbach160,3,34,17,31,6,0.85,0.354166667,0.579545455,0.523076923,0.739130435,0.647619048,0.602
KNeighborsClassifier,rois_dosenbach160,4,35,17,31,5,0.875,0.354166667,0.590909091,0.53030303,0.772727273,0.660377358,0.615
KNeighborsClassifier,rois_dosenbach160,5,35,8,39,6,0.853658537,0.170212766,0.488636364,0.472972973,0.571428571,0.608695652,0.512
KNeighborsClassifier,rois_dosenbach160,6,36,11,36,5,0.87804878,0.234042553,0.534090909,0.5,0.6875,0.637168142,0.556
KNeighborsClassifier,rois_dosenbach160,7,32,16,31,9,0.780487805,0.340425532,0.545454545,0.507936508,0.64,0.615384615,0.56
KNeighborsClassifier,rois_dosenbach160,8,36,8,39,5,0.87804878,0.170212766,0.5,0.48,0.615384615,0.620689655,0.524
KNeighborsClassifier,rois_dosenbach160,9,37,8,39,4,0.902439024,0.170212766,0.511363636,0.486842105,0.666666667,0.632478632,0.536
KNeighborsClassifier,rois_dosenbach160,average,34.7,11.6,35.9,6,0.852682927,0.243927305,0.525025536,0.492230759,0.656874336,0.623527941,0.5483
GaussianNB,rois_dosenbach160,0,32,22,26,9,0.780487805,0.458333333,0.606741573,0.551724138,0.709677419,0.646464646,0.619
GaussianNB,rois_dosenbach160,1,24,22,26,17,0.585365854,0.458333333,0.516853933,0.48,0.564102564,0.527472527,0.522
GaussianNB,rois_dosenbach160,2,27,25,23,13,0.675,0.520833333,0.590909091,0.54,0.657894737,0.6,0.598
GaussianNB,rois_dosenbach160,3,30,30,18,10,0.75,0.625,0.681818182,0.625,0.75,0.681818182,0.688
GaussianNB,rois_dosenbach160,4,21,31,17,19,0.525,0.645833333,0.590909091,0.552631579,0.62,0.538461538,0.585
GaussianNB,rois_dosenbach160,5,25,27,20,16,0.609756098,0.574468085,0.590909091,0.555555556,0.627906977,0.581395349,0.592
GaussianNB,rois_dosenbach160,6,32,28,19,9,0.780487805,0.595744681,0.681818182,0.62745098,0.756756757,0.695652174,0.688
GaussianNB,rois_dosenbach160,7,27,31,16,14,0.658536585,0.659574468,0.659090909,0.627906977,0.688888889,0.642857143,0.659
GaussianNB,rois_dosenbach160,8,28,21,26,13,0.682926829,0.446808511,0.556818182,0.518518519,0.617647059,0.589473684,0.565
GaussianNB,rois_dosenbach160,9,26,24,23,15,0.634146341,0.510638298,0.568181818,0.530612245,0.615384615,0.577777778,0.572
GaussianNB,rois_dosenbach160,average,27.2,26.1,21.4,13.5,0.668170732,0.549556738,0.604405005,0.560939999,0.660825902,0.608137302,0.6088
DecisionTreeClassifier,rois_dosenbach160,0,15,34,14,26,0.365853659,0.708333333,0.550561798,0.517241379,0.566666667,0.428571429,0.537
DecisionTreeClassifier,rois_dosenbach160,1,20,23,25,21,0.487804878,0.479166667,0.483146067,0.444444444,0.522727273,0.465116279,0.483
DecisionTreeClassifier,rois_dosenbach160,2,18,33,15,22,0.45,0.6875,0.579545455,0.545454545,0.6,0.493150685,0.569
DecisionTreeClassifier,rois_dosenbach160,3,24,14,34,16,0.6,0.291666667,0.431818182,0.413793103,0.466666667,0.489795918,0.446
DecisionTreeClassifier,rois_dosenbach160,4,17,16,32,23,0.425,0.333333333,0.375,0.346938776,0.41025641,0.382022472,0.379
DecisionTreeClassifier,rois_dosenbach160,5,17,19,28,24,0.414634146,0.404255319,0.409090909,0.377777778,0.441860465,0.395348837,0.409
DecisionTreeClassifier,rois_dosenbach160,6,13,30,17,28,0.317073171,0.638297872,0.488636364,0.433333333,0.517241379,0.366197183,0.478
